Throat_mm,MR,Channels,Width_mm,Height_mm,Wall_mm,Thrust_kN,Tc_K,Wall_Tmax_K,DeltaP_bar,Printable
10.555,6.68,163,0.89,2.98,0.57,23.286783562564235,2839.251961506301,673.0152808988764,2.164835751658403,True
10.57,6.82,119,1.15,2.02,0.75,25.63861626232852,2746.7016223493956,595.8904347826087,1.53850939331332,True
12.552,6.5,176,1.39,2.56,0.43,28.893309274128743,3000.0,592.3879136690647,2.3679230819281614,True
16.516,6.05,214,1.27,3.31,0.79,33.541354185652196,3296.3065021785415,631.7642519685039,3.0044400891217182,True
12.255,6.8,193,0.8,2.72,0.67,34.02149962741426,2757.294901687516,683.36,2.64499335197105,True
15.574,6.15,232,0.65,3.63,0.85,32.962646053288864,3267.3019572565104,764.0938461538462,3.326974976896683,True
15.032,6.0,213,1.17,2.6,0.65,26.348565838411186,3300.0,615.5521367521368,2.986906126093223,True
17.02,5.98,108,1.38,3.23,0.71,33.04863665218141,3299.4080185284815,618.6820289855073,1.397895138643706,True
15.881,5.91,142,1.29,2.52,0.89,26.574395319792583,3288.088105703083,599.791007751938,1.8537002326955552,True
12.256,6.51,164,1.23,2.05,0.79,27.75749533080111,2990.5767722765618,587.9813008130081,2.1801797999023798,True
16.005,6.92,154,0.77,2.1,0.42,62.59444650541023,2709.4250516614106,667.5922077922078,2.028871793186074,True
17.924,6.37,243,0.82,2.67,0.87,53.128462260481115,3119.144367190434,676.5819512195121,3.530396092922508,True
13.301,6.88,186,1.3,3.25,0.62,42.17341307757629,2721.0670542335247,626.5769230769231,2.5293614365114956,True
12.976,6.33,189,0.68,3.44,0.65,26.925784223483543,3152.7124247251113,746.0141176470588,2.5786563352319694,True
16.211,6.74,143,0.74,2.16,0.61,57.22024168415026,2794.635868221393,678.2962162162163,1.8680250290108,True
12.726,6.65,104,1.18,2.09,0.9,33.150868603487204,2863.8028500781356,595.013220338983,1.3484768470618396,True
17.446,5.72,128,0.74,3.6,0.85,25.124865131596863,3191.2271969246067,733.0162162162162,1.6585237502960395,True
16.867,6.2,225,0.73,3.42,0.42,40.53498004813332,3242.705098312484,729.1380821917809,3.2,True
16.007,6.07,198,1.27,3.35,0.7,32.16270404597371,3292.775028581624,633.2842519685039,2.728885569068094,True
10.825,6.49,184,1.27,2.76,0.62,21.325359117766975,3009.4232277234382,610.8642519685039,2.496717947032079,True
17.22,6.06,235,1.25,3.18,0.47,36.84137496560966,3294.686175218607,628.84,3.381985426750108,True
12.56,7.0,248,0.63,2.85,0.84,40.44981980034598,2700.0,742.2682539682539,3.624406324407887,True
17.243,6.94,235,0.91,2.59,0.67,73.54470141345689,2705.313824781393,654.2441758241757,3.381985426750108,True
10.73,6.96,185,0.88,2.06,0.88,28.82551981749652,2702.3655896056566,640.0981818181817,2.5130176352928455,True
12.555,6.31,117,1.18,2.06,0.8,24.77942890588296,3168.6250133556396,593.8732203389831,1.5124387981502883,True
17.6,6.76,231,1.08,3.89,0.75,68.35118616988372,2781.309411773577,675.9681481481481,3.3087168315798587,True
14.588,6.94,226,0.72,2.42,0.48,52.64016501016111,2705.313824781393,694.1822222222222,3.218019985209822,True
12.629,6.15,145,1.23,2.67,0.87,21.675027286973872,3267.3019572565104,611.5413008130081,1.8968249711399063,True
15.38,6.56,147,1.0,2.48,0.77,45.38025860480594,2943.785605624283,634.24,1.9258242247906998,True
16.019,5.73,219,0.99,3.59,0.62,21.48258126018192,3198.3935595970956,678.0361616161615,3.09272323243342,True
16.333,6.96,231,0.89,3.5,0.57,66.78972079676089,2702.3655896056566,692.7752808988764,3.3087168315798587,True
16.317,5.87,118,0.9,2.16,0.47,26.7465250251245,3275.3263877051945,639.8577777777778,1.5254464783693005,True
